41 45 233 ; 34 22 404 ; 18 30 330 ; 94 109 21 ; 127 88 204 ; 
33 104 149 ; 22 69 248 ; 54 66 312 ; 69 16 117 ; 116 61 426 ; 
90 92 358 ; 55 31 112 ; 104 126 47 ; 63 33 210 ; 42 96 487 ; 
18 69 54 ; 87 65 308 ; 26 106 486 ; 42 79 289 ; 103 41 306 ; 
67 75 98 ; 99 8 80 ; 97 55 127 ; 2 29 200 ; 98 64 7 ; 
40 71 245 ; 105 111 291 ; 83 45 422 ; 34 34 224 ; 75 92 278 ; 
23 10 442 ; 31 18 69 ; 86 82 352 ; 116 122 313 ; 52 97 324 ; 
123 114 366 ; 106 21 90 ; 24 15 96 ; 58 36 47 ; 23 98 62 ; 
33 8 417 ; 52 114 324 ; 6 62 395 ; 0 108 326 ; 97 28 30 ; 
83 46 346 ; 104 105 330 ; 119 13 288 ; 27 4 412 ; 126 30 139 ; 
6 4 330 ; 120 0 231 ; 55 28 275 ; 35 14 441 ; 63 116 281 ; 
109 14 450 ; 86 36 249 ; 99 37 265 ; 104 61 477 ; 6 16 256 ; 
10 122 86 ; 11 6 409 ; 39 69 293 ; 53 11 444 ; 41 80 175 ; 
55 119 162 ; 92 112 476 ; 1 82 2 ; 62 43 394 ; 79 31 346 ; 
73 18 272 ; 79 11 443 ; 21 124 182 ; 32 37 385 ; 112 112 82 ; 
103 123 155 ; 88 115 98 ; 42 65 298 ; 85 115 191 ; 116 13 394 ; 
6 46 45 ; 17 89 474 ; 14 15 414 ; 51 108 491 ; 35 126 147 ; 
30 57 15 ; 17 43 399 ; 83 122 47 ; 70 73 225 ; 84 87 58 ; 
2 52 358 ; 91 91 361 ; 106 81 326 ; 86 92 48 ; 84 7 471 ; 
13 34 475 ; 56 37 221 ; 50 0 39 ; 124 5 78 ; 83 95 288 ; 
8 46 16 ; 99 3 386 ; 52 105 193 ; 16 94 267 ; 23 5 49 ; 
57 80 269 ; 95 58 434 ; 95 53 143 ; 101 3 45 ; 68 23 333 ; 
114 0 253 ; 117 106 349 ; 95 48 96 ; 61 95 260 ; 66 101 480 ; 
19 62 107 ; 77 37 156 ; 2 68 379 ; 5 21 323 ; 28 99 64 ; 
28 4 12 ; 7 45 175 ; 55 57 264 ; 22 121 107 ; 123 73 104 ; 
58 48 227 ; 95 80 450 ; 35 80 199 ; 56 47 161 ; 27 115 266 ; 
31 123 6 ; 76 118 47 ; 5 103 126 ; 126 54 141 ; 71 67 155 ; 
119 18 71 ; 72 116 361 ; 24 35 404 ; 71 84 399 ; 58 10 391 ; 
53 92 363 ; 44 75 270 ; 19 65 315 ; 73 110 444 ; 12 50 67 ; 
30 113 218 ; 18 106 154 ; 53 66 30 ; 9 61 430 ; 19 112 29 ; 
112 63 39 ; 59 46 176 ; 125 105 116 ; 107 41 271 ; 29 104 453 ; 
14 111 117 ; 120 109 492 ; 58 51 378 ; 119 17 328 ; 104 54 1 ; 
39 21 369 ; 85 41 233 ; 62 106 492 ; 104 61 477 ; 80 90 477 ; 
63 4 498 ; 44 76 113 ; 95 38 181 ; 112 54 164 ; 38 80 255 ; 
59 125 51 ; 101 26 63 ; 79 114 116 ; 12 72 27 ; 103 9 387 ; 
107 103 467 ; 55 84 487 ; 93 58 99 ; 20 90 187 ; 100 113 31 ; 
97 113 162 ; 123 24 469 ; 109 20 130 ; 53 79 465 ; 62 114 394 ; 
38 102 73 ; 122 25 416 ; 52 120 471 ; 14 55 264 ; 0 103 476 ; 
113 61 312 ; 9 78 289 ; 29 69 492 ; 109 10 266 ; 95 92 87 ; 
69 21 138 ; 94 57 64 ; 87 20 478 ; 14 77 267 ; 117 25 241 ; 
50 74 9 ; 1 91 474 ; 70 104 347 ; 80 98 301 ; 45 17 10 ; 
66 127 213 ; 124 19 379 ; 16 34 197 ; 93 101 120 ; 119 54 483 ; 
65 8 20 ; 28 74 395 ; 4 22 76 ; 102 127 194 ; 120 85 418 ; 
119 10 495 ; 11 5 294 ; 45 95 286 ; 18 15 90 ; 72 78 472 ; 
80 3 111 ; 27 106 468 ; 49 82 332 ; 48 0 401 ; 5 126 439 ; 
15 42 35 ; 21 24 31 ; 116 2 138 ; 3 124 39 ; 82 84 149 ; 
85 35 413 ; 63 51 490 ; 17 96 57 ; 17 17 110 ; 15 40 154 ; 
57 56 51 ; 81 63 14 ; 83 81 275 ; 80 16 31 ; 36 97 255 ; 
72 122 281 ; 123 100 130 ; 91 105 197 ; 108 31 262 ; 21 5 167 ; 
77 112 34 ; 12 107 212 ; 93 122 493 ; 109 126 165 ; 78 5 21 ; 
72 94 33 ; 45 12 165 ; 22 121 33 ; 54 119 172 ; 59 6 337 ; 
44 36 114 ; 23 124 95 ; 17 38 459 ; 15 35 196 ; 20 112 345 ; 
114 97 55 ; 126 27 91 ; 119 80 444 ; 110 96 171 ; 116 93 85 ; 
25 111 136 ; 21 78 432 ; 59 57 135 ; 94 1 21 ; 78 54 324 ; 
48 57 301 ; 75 5 231 ; 27 125 98 ; 123 12 449 ; 89 81 48 ; 
72 82 60 ; 23 126 77 ; 80 66 255 ; 82 23 142 ; 8 123 53 ; 
66 116 211 ; 71 96 299 ; 68 74 334 ; 81 43 349 ; 34 123 369 ; 
116 64 82 ; 115 29 250 ; 53 16 321 ; 76 63 254 ; 71 76 96 ; 
60 39 340 ; 28 51 246 ; 102 9 201 ; 17 123 206 ; 13 104 431 ; 
77 46 109 ; 106 60 434 ; 123 98 133 ; 58 88 398 ; 6 32 398 ; 
45 112 309 ; 96 3 285 ; 106 92 409 ; 101 122 75 ; 77 105 289 ; 
123 123 246 ; 55 1 359 ; 25 122 57 ; 113 40 96 ; 17 34 470 ; 
