54 84 480 ; 116 27 417 ; 34 105 377 ; 23 17 27 ; 76 125 51 ; 
104 86 117 ; 105 79 47 ; 52 34 326 ; 2 120 161 ; 108 26 25 ; 
13 0 317 ; 35 13 305 ; 23 79 6 ; 72 49 88 ; 87 47 240 ; 
46 24 412 ; 125 43 128 ; 31 2 14 ; 23 103 262 ; 49 53 276 ; 
49 110 460 ; 62 7 5 ; 14 109 329 ; 63 29 84 ; 111 21 341 ; 
7 125 244 ; 51 77 454 ; 53 7 431 ; 28 117 398 ; 81 102 473 ; 
63 66 434 ; 70 44 464 ; 51 57 190 ; 80 93 236 ; 101 74 136 ; 
98 15 283 ; 48 1 294 ; 55 113 421 ; 45 127 138 ; 19 37 311 ; 
85 123 316 ; 1 3 120 ; 58 74 378 ; 24 30 302 ; 98 50 126 ; 
113 53 296 ; 115 64 370 ; 100 125 478 ; 99 112 486 ; 8 127 155 ; 
4 95 466 ; 7 127 27 ; 81 102 49 ; 112 0 211 ; 34 106 99 ; 
88 58 406 ; 24 109 375 ; 21 79 314 ; 5 105 154 ; 4 48 146 ; 
100 10 410 ; 99 58 438 ; 73 107 342 ; 73 86 163 ; 52 90 491 ; 
110 64 462 ; 91 23 210 ; 43 98 30 ; 20 16 343 ; 69 34 141 ; 
79 61 233 ; 9 91 289 ; 116 1 429 ; 75 121 30 ; 37 96 100 ; 
101 106 412 ; 124 76 466 ; 94 70 134 ; 111 86 41 ; 17 107 377 ; 
78 4 150 ; 42 2 326 ; 43 99 431 ; 36 13 220 ; 5 1 51 ; 
111 41 228 ; 60 64 9 ; 2 50 269 ; 88 79 324 ; 67 0 327 ; 
72 119 128 ; 74 61 491 ; 45 12 149 ; 58 80 0 ; 60 95 357 ; 
101 19 414 ; 37 44 429 ; 87 66 169 ; 38 54 312 ; 39 25 200 ; 
30 13 32 ; 91 80 336 ; 103 61 106 ; 56 86 271 ; 23 19 361 ; 
43 85 181 ; 87 6 291 ; 25 116 360 ; 79 100 320 ; 104 44 266 ; 
118 56 77 ; 70 12 255 ; 4 42 126 ; 90 117 122 ; 109 123 314 ; 
66 60 105 ; 72 99 224 ; 60 48 32 ; 32 84 149 ; 77 30 49 ; 
5 16 409 ; 18 31 211 ; 60 10 298 ; 50 92 318 ; 45 102 124 ; 
105 7 425 ; 77 84 135 ; 125 120 35 ; 81 53 296 ; 111 66 80 ; 
127 56 237 ; 31 35 355 ; 41 85 213 ; 5 11 121 ; 107 27 351 ; 
114 24 116 ; 70 87 246 ; 62 95 383 ; 116 35 388 ; 54 7 285 ; 
110 57 488 ; 18 112 280 ; 103 57 267 ; 115 62 224 ; 14 118 125 ; 
39 90 284 ; 126 40 158 ; 93 67 473 ; 0 91 111 ; 8 68 75 ; 
65 29 414 ; 49 117 184 ; 106 108 302 ; 40 12 214 ; 30 49 237 ; 
121 65 347 ; 33 67 118 ; 101 12 37 ; 64 20 138 ; 5 15 71 ; 
34 65 415 ; 23 98 408 ; 3 20 109 ; 15 46 27 ; 64 59 191 ; 
1 87 250 ; 68 25 375 ; 81 90 108 ; 101 121 37 ; 116 24 402 ; 
54 63 135 ; 24 39 77 ; 44 64 212 ; 91 67 455 ; 22 110 234 ; 
109 56 470 ; 7 123 151 ; 97 96 83 ; 90 41 92 ; 114 51 141 ; 
49 66 306 ; 88 115 352 ; 24 59 316 ; 91 6 0 ; 74 96 471 ; 
2 122 318 ; 126 21 183 ; 94 117 242 ; 7 37 328 ; 59 59 78 ; 
125 69 269 ; 113 5 462 ; 44 93 67 ; 51 97 395 ; 19 65 123 ; 
14 55 441 ; 35 26 303 ; 24 5 233 ; 62 81 43 ; 121 119 271 ; 
62 16 318 ; 67 91 23 ; 32 126 316 ; 1 57 57 ; 66 80 404 ; 
121 49 91 ; 20 21 89 ; 25 118 253 ; 106 54 165 ; 97 125 123 ; 
114 127 416 ; 77 126 350 ; 75 111 481 ; 4 12 273 ; 85 92 79 ; 
6 63 369 ; 27 49 315 ; 18 70 99 ; 72 115 316 ; 69 95 90 ; 
68 67 55 ; 66 102 481 ; 49 75 330 ; 61 81 373 ; 25 88 302 ; 
89 33 443 ; 10 100 89 ; 80 59 341 ; 67 43 135 ; 34 5 15 ; 
102 65 252 ; 76 110 16 ; 23 105 330 ; 104 46 216 ; 64 120 377 ; 
98 23 423 ; 70 61 92 ; 2 126 178 ; 45 81 286 ; 51 108 81 ; 
116 76 188 ; 98 112 374 ; 75 86 490 ; 122 110 369 ; 114 68 138 ; 
10 51 374 ; 71 123 152 ; 69 77 435 ; 22 111 173 ; 2 84 182 ; 
78 92 257 ; 62 74 101 ; 20 4 252 ; 3 86 187 ; 71 16 485 ; 
122 10 96 ; 117 103 166 ; 66 10 433 ; 49 47 442 ; 5 1 476 ; 
98 7 254 ; 44 0 324 ; 49 92 406 ; 7 4 330 ; 23 37 17 ; 
33 57 140 ; 8 87 326 ; 18 60 167 ; 65 102 193 ; 67 38 190 ; 
74 104 92 ; 74 120 382 ; 39 70 138 ; 43 41 351 ; 80 14 242 ; 
10 59 301 ; 97 97 51 ; 30 125 347 ; 4 90 126 ; 43 105 59 ; 
19 125 330 ; 12 115 48 ; 82 21 167 ; 123 105 438 ; 10 67 49 ; 
69 53 189 ; 38 72 103 ; 35 99 309 ; 126 17 239 ; 103 1 39 ; 
100 51 186 ; 87 48 286 ; 108 119 310 ; 85 101 368 ; 25 126 292 ; 
78 103 98 ; 22 91 279 ; 121 48 161 ; 11 35 265 ; 12 26 135 ; 
63 61 462 ; 111 115 190 ; 102 53 201 ; 75 73 485 ; 73 89 247 ; 
49 115 80 ; 12 82 286 ; 60 88 416 ; 95 1 373 ; 121 40 80 ; 

